t,detected,conf,cx,cy,size
0.994,False,0.000,0.000,0.000,0.0000
3.168,False,0.000,0.000,0.000,0.0000
3.258,False,0.000,0.000,0.000,0.0000
3.321,False,0.000,0.000,0.000,0.0000
3.388,False,0.000,0.000,0.000,0.0000
3.470,False,0.000,0.000,0.000,0.0000
3.535,False,0.000,0.000,0.000,0.0000
3.588,False,0.000,0.000,0.000,0.0000
3.657,False,0.000,0.000,0.000,0.0000
3.722,False,0.000,0.000,0.000,0.0000
3.794,False,0.000,0.000,0.000,0.0000
3.861,False,0.000,0.000,0.000,0.0000
3.923,False,0.000,0.000,0.000,0.0000
3.995,False,0.000,0.000,0.000,0.0000
4.061,False,0.000,0.000,0.000,0.0000
4.124,False,0.000,0.000,0.000,0.0000
4.169,False,0.000,0.000,0.000,0.0000
4.223,False,0.000,0.000,0.000,0.0000
4.263,False,0.000,0.000,0.000,0.0000
4.322,False,0.000,0.000,0.000,0.0000
4.389,False,0.000,0.000,0.000,0.0000
4.459,False,0.000,0.000,0.000,0.0000
4.520,False,0.000,0.000,0.000,0.0000
4.589,False,0.000,0.000,0.000,0.0000
4.655,False,0.000,0.000,0.000,0.0000
4.723,False,0.000,0.000,0.000,0.0000
4.789,False,0.000,0.000,0.000,0.0000
4.865,False,0.000,0.000,0.000,0.0000
4.926,False,0.000,0.000,0.000,0.0000
4.990,False,0.000,0.000,0.000,0.0000
5.061,False,0.000,0.000,0.000,0.0000
5.123,False,0.000,0.000,0.000,0.0000
5.189,False,0.000,0.000,0.000,0.0000
5.268,False,0.000,0.000,0.000,0.0000
5.331,False,0.000,0.000,0.000,0.0000
5.398,False,0.000,0.000,0.000,0.0000
5.468,False,0.000,0.000,0.000,0.0000
5.526,False,0.000,0.000,0.000,0.0000
5.589,False,0.000,0.000,0.000,0.0000
5.660,False,0.000,0.000,0.000,0.0000
5.725,False,0.000,0.000,0.000,0.0000
5.794,False,0.000,0.000,0.000,0.0000
5.862,False,0.000,0.000,0.000,0.0000
5.929,False,0.000,0.000,0.000,0.0000
5.996,False,0.000,0.000,0.000,0.0000
6.071,False,0.000,0.000,0.000,0.0000
6.131,False,0.000,0.000,0.000,0.0000
6.197,False,0.000,0.000,0.000,0.0000
6.270,False,0.000,0.000,0.000,0.0000
6.330,False,0.000,0.000,0.000,0.0000
6.400,False,0.000,0.000,0.000,0.0000
6.472,False,0.000,0.000,0.000,0.0000
6.530,False,0.000,0.000,0.000,0.0000
6.596,False,0.000,0.000,0.000,0.0000
6.669,False,0.000,0.000,0.000,0.0000
6.734,False,0.000,0.000,0.000,0.0000
6.800,False,0.000,0.000,0.000,0.0000
6.865,False,0.000,0.000,0.000,0.0000
6.933,False,0.000,0.000,0.000,0.0000
6.997,False,0.000,0.000,0.000,0.0000
7.066,False,0.000,0.000,0.000,0.0000
7.132,False,0.000,0.000,0.000,0.0000
7.197,False,0.000,0.000,0.000,0.0000
7.265,False,0.000,0.000,0.000,0.0000
7.332,False,0.000,0.000,0.000,0.0000
7.396,False,0.000,0.000,0.000,0.0000
7.456,False,0.000,0.000,0.000,0.0000
7.530,False,0.000,0.000,0.000,0.0000
7.567,False,0.000,0.000,0.000,0.0000
7.636,False,0.000,0.000,0.000,0.0000
7.694,False,0.000,0.000,0.000,0.0000
7.761,False,0.000,0.000,0.000,0.0000
7.832,False,0.000,0.000,0.000,0.0000
7.895,False,0.000,0.000,0.000,0.0000
7.962,False,0.000,0.000,0.000,0.0000
8.037,False,0.000,0.000,0.000,0.0000
8.093,False,0.000,0.000,0.000,0.0000
8.160,False,0.000,0.000,0.000,0.0000
8.232,False,0.000,0.000,0.000,0.0000
8.298,False,0.000,0.000,0.000,0.0000
8.362,False,0.000,0.000,0.000,0.0000
8.436,False,0.000,0.000,0.000,0.0000
8.494,False,0.000,0.000,0.000,0.0000
8.563,False,0.000,0.000,0.000,0.0000
8.632,False,0.000,0.000,0.000,0.0000
8.699,False,0.000,0.000,0.000,0.0000
8.766,False,0.000,0.000,0.000,0.0000
8.837,False,0.000,0.000,0.000,0.0000
8.895,False,0.000,0.000,0.000,0.0000
8.957,False,0.000,0.000,0.000,0.0000
9.029,False,0.000,0.000,0.000,0.0000
9.094,False,0.000,0.000,0.000,0.0000
9.163,False,0.000,0.000,0.000,0.0000
9.232,False,0.000,0.000,0.000,0.0000
9.299,False,0.000,0.000,0.000,0.0000
9.365,False,0.000,0.000,0.000,0.0000
9.464,False,0.000,0.000,0.000,0.0000
9.526,False,0.000,0.000,0.000,0.0000
9.592,False,0.000,0.000,0.000,0.0000
9.660,False,0.000,0.000,0.000,0.0000
9.724,False,0.000,0.000,0.000,0.0000
9.793,False,0.000,0.000,0.000,0.0000
9.872,False,0.000,0.000,0.000,0.0000
9.930,False,0.000,0.000,0.000,0.0000
9.992,False,0.000,0.000,0.000,0.0000
10.065,False,0.000,0.000,0.000,0.0000
10.125,False,0.000,0.000,0.000,0.0000
10.190,False,0.000,0.000,0.000,0.0000
10.257,False,0.000,0.000,0.000,0.0000
10.325,False,0.000,0.000,0.000,0.0000
10.396,False,0.000,0.000,0.000,0.0000
10.466,False,0.000,0.000,0.000,0.0000
10.526,False,0.000,0.000,0.000,0.0000
10.598,False,0.000,0.000,0.000,0.0000
10.665,False,0.000,0.000,0.000,0.0000
10.732,False,0.000,0.000,0.000,0.0000
10.792,False,0.000,0.000,0.000,0.0000
10.870,False,0.000,0.000,0.000,0.0000
10.932,False,0.000,0.000,0.000,0.0000
10.992,False,0.000,0.000,0.000,0.0000
11.071,False,0.000,0.000,0.000,0.0000
11.130,False,0.000,0.000,0.000,0.0000
11.197,False,0.000,0.000,0.000,0.0000
11.265,False,0.000,0.000,0.000,0.0000
11.332,False,0.000,0.000,0.000,0.0000
11.397,False,0.000,0.000,0.000,0.0000
11.473,False,0.000,0.000,0.000,0.0000
11.531,False,0.000,0.000,0.000,0.0000
11.597,False,0.000,0.000,0.000,0.0000
11.676,False,0.000,0.000,0.000,0.0000
11.738,False,0.000,0.000,0.000,0.0000
11.799,False,0.000,0.000,0.000,0.0000
11.872,False,0.000,0.000,0.000,0.0000
11.932,False,0.000,0.000,0.000,0.0000
11.997,False,0.000,0.000,0.000,0.0000
12.075,False,0.000,0.000,0.000,0.0000
12.136,False,0.000,0.000,0.000,0.0000
12.197,False,0.000,0.000,0.000,0.0000
12.273,False,0.000,0.000,0.000,0.0000
12.330,True,0.491,0.649,0.868,0.0252
12.398,True,0.659,0.706,0.853,0.0302
12.485,True,0.749,0.751,0.832,0.0361
12.560,True,0.824,0.777,0.781,0.0489
12.633,True,0.841,0.781,0.762,0.0520
12.700,True,0.854,0.782,0.751,0.0534
12.763,True,0.860,0.776,0.749,0.0532
12.828,True,0.862,0.774,0.744,0.0531
12.866,True,0.861,0.773,0.749,0.0530
12.922,True,0.857,0.770,0.750,0.0531
12.988,True,0.854,0.769,0.751,0.0528
13.062,True,0.851,0.765,0.754,0.0524
13.130,True,0.845,0.752,0.756,0.0521
13.196,True,0.855,0.738,0.751,0.0536
13.274,True,0.859,0.713,0.733,0.0556
13.334,True,0.882,0.691,0.711,0.0582
13.400,True,0.901,0.673,0.682,0.0626
13.462,True,0.878,0.660,0.643,0.0616
13.531,True,0.891,0.650,0.603,0.0611
13.600,True,0.876,0.629,0.560,0.0596
13.672,True,0.887,0.615,0.518,0.0571
13.732,True,0.872,0.591,0.458,0.0592
13.798,True,0.876,0.568,0.390,0.0547
13.876,True,0.883,0.534,0.328,0.0519
13.934,True,0.840,0.508,0.282,0.0522
14.000,True,0.854,0.480,0.222,0.0502
14.079,True,0.869,0.450,0.175,0.0491
14.138,True,0.853,0.419,0.138,0.0485
